ticker,year,cap,rev,inc,ast,lia,dbt,csh
MSFT,2024,3000000000000,NA,NA,NA,NA,NA,NA
MSFT,2023,2794000000000,218310000000,95020000000,411970000000,205750000000,59960000000,111260000000
MSFT,2022,1787000000000,204090000000,82580000000,364840000000,198290000000,61270000000,104750000000
MSFT,2021,2522000000000,184900000000,79680000000,333770000000,191790000000,67770000000,130330000000
MSFT,2020,1681000000000,153280000000,60720000000,301310000000,183000000000,70990000000,136520000000
MSFT,2019,1200000000000,134240000000,49850000000,286550000000,184220000000,78360000000,133810000000
MSFT,2018,780360000000,118450000000,39920000000,258840000000,176130000000,81800000000,133760000000
MSFT,2017,659900000000,99980000000,29790000000,241080000000,168690000000,86190000000,132980000000
MSFT,2016,483160000000,88890000000,23230000000,193690000000,121690000000,53680000000,113240000000
MSFT,2015,439670000000,88080000000,16120000000,176220000000,96140000000,35290000000,96520000000
MSFT,2014,381720000000,93450000000,27280000000,172380000000,82600000000,22640000000,85700000000
MSFT,2013,310500000000,83430000000,28030000000,142430000000,63480000000,15600000000,77020000000
MSFT,2012,223660000000,72930000000,20020000000,121270000000,54900000000,11940000000,63040000000
MSFT,2011,218380000000,72050000000,27880000000,108700000000,51620000000,11920000000,52770000000
MSFT,2010,234520000000,66690000000,27090000000,86110000000,39930000000,5930000000,36780000000
MSFT,2009,268550000000,58680000000,21840000000,77880000000,38330000000,5740000000,31440000000
MSFT,2008,172920000000,61980000000,22400000000,72790000000,36500000000,NA,23660000000
MSFT,2007,332110000000,57890000000,24290000000,63170000000,32070000000,NA,23410000000
MSFT,2006,291940000000,46050000000,17410000000,69590000000,29490000000,NA,34160000000
MSFT,2005,271540000000,41350000000,17370000000,70810000000,22700000000,NA,37750000000
MSFT,2004,290710000000,38470000000,14920000000,92380000000,17560000000,NA,60590000000
MSFT,2003,295290000000,34260000000,12270000000,79570000000,18550000000,NA,49040000000
MSFT,2002,276630000000,30780000000,11910000000,67640000000,15460000000,NA,38650000000
