name,sym,open,close,change,percent,snr
Bandwidth,BAND,16.93,22.82,5.89,0.348,0.62
BancFirst,BANF,87.29,107.43,20.14,0.231,0.62
Community Health,CYH,3.38,5.26,1.88,0.556,0.62
Gencor Industries,GENC,19.34,24.63,5.29,0.274,0.62
Heartland Financial USA,HTLF,44.44,54.52,10.08,0.227,0.62
MGIC Investment,MTG,21.73,24.84,3.11,0.143,0.62
UMB Financial,UMBF,83.15,102.02,18.87,0.227,0.62
UMH Properties,UMH,15.95,17.76,1.81,0.113,0.62
Meta Financial,CASH,56.45,67.54,11.09,0.196,0.61
Eversource Energy,ES,57.07,64.91,7.84,0.137,0.61
First Commonwealth Financial,FCF,13.83,18.08,4.25,0.307,0.61
Ingles Markets,IMKTA,68.59,81.05,12.46,0.182,0.61
First Internet Bancorp,INBK,27.19,37.06,9.87,0.363,0.61
Mueller Industries,MLI,57.05,70.94,13.89,0.243,0.61
Nelnet,NNI,101.32,112.71,11.39,0.112,0.61
Orrstown Financial,ORRF,27.47,35.16,7.69,0.28,0.61
ePlus,PLUS,74.05,91.92,17.87,0.241,0.61
Shore Bancshares,SHBI,11.46,14.52,3.06,0.267,0.61
Vector,VGR,10.61,12.78,2.17,0.205,0.61
Western Alliance Bancorporation,WAL,62.45,80.46,18.01,0.288,0.61
Vector Group Ltd.,VGR,10.61,12.78,2.17,0.205,0.61
Western Alliance Bancorporation,WAL,62.45,80.46,18.01,0.288,0.61
Affiliated Managers,AMG,156.49,185.62,29.13,0.186,0.6
Encore Capital,ECPG,41.69,50.55,8.86,0.213,0.6
First Business Financial,FBIZ,36.99,46.02,9.03,0.244,0.6
Global Net Lease,GNL,7.33,8.7,1.37,0.187,0.6
LendingClub,LC,8.43,12.51,4.08,0.484,0.6
Northfield Bancorp,NFBK,9.41,12.51,3.1,0.329,0.6
National Health Investors,NHI,67.12,74.86,7.74,0.115,0.6
OFG Bancorp,OFG,37.48,45.42,7.94,0.212,0.6
Towne Bank,TOWN,27.16,33.24,6.08,0.224,0.6
Turning Point Brands,TPB,32.31,37.72,5.41,0.167,0.6
Brookline Bancorp,BRKL,8.4,10.49,2.09,0.249,0.59
Colony Bankcorp,CBAN,12.31,15.53,3.22,0.262,0.59
Financial Institutions,FISI,19.29,26.32,7.03,0.364,0.59
Invesco,IVZ,14.98,17.26,2.28,0.152,0.59
RBB Bancorp,RBB,18.89,23.07,4.18,0.221,0.59
Select Medical,SEM,35.15,39.76,4.61,0.131,0.59
Terreno Realty,TRNO,58.87,68.41,9.54,0.162,0.59
Allison Transmission,ALSN,76.37,88.59,12.22,0.16,0.58
BlackRock,BLK,790.83,876.5,85.67,0.108,0.58
East West Bancorp,EWBC,73.46,87.89,14.43,0.196,0.58
First Community Bancshares,FCBC,36.97,44.78,7.81,0.211,0.58
First Hawaiian,FHB,20.69,25.04,4.35,0.21,0.58
MI Homes,MHO,122.47,166.83,44.36,0.362,0.58
NBT Bancorp,NBTB,38.6,49.02,10.42,0.27,0.58
UNITIL,UTL,52,61.28,9.28,0.178,0.58
Axonics Modulation,AXNX,67.25,68.48,1.23,0.018,0.57
Genworth Financial,GNW,6.02,6.77,0.75,0.125,0.57
Sandy Spring Bancorp,SASR,24.18,30.63,6.45,0.267,0.57
Ameren,AEE,71.28,79.27,7.99,0.112,0.56
Asure Software,ASUR,8.44,10.3,1.86,0.22,0.56
Carriage,CSV,27.04,32.06,5.02,0.186,0.56
Huntington Bancshares,HBAN,13.15,14.95,1.8,0.137,0.56
Horizon Bancorp IN,HBNC,12.37,15.97,3.6,0.291,0.56
Kadant,KAI,295.17,351.49,56.32,0.191,0.56
Silgan,SLGN,42.57,51.43,8.86,0.208,0.56
Tompkins Financial,TMP,48.2,62.94,14.74,0.306,0.56
ViaSat,VSAT,12.64,20.22,7.58,0.6,0.56
"ViaSat, Inc.",VSAT,12.64,20.22,7.58,0.6,0.56
The Bank of Princeton,BPRN,32.81,39.12,6.31,0.192,0.55
CNO Financial,CNO,27.91,34.86,6.95,0.249,0.55
The First Bancshares,FBMS,25.85,33.32,7.47,0.289,0.55
Lazard,LAZ,38.43,49.17,10.74,0.279,0.55
Lincoln Educational,LINC,11.9,14.11,2.21,0.186,0.55
Live Oak Bancshares,LOB,34.93,45.14,10.21,0.292,0.55
AG Mortgage Investment Trust,MITT,6.63,7.72,1.09,0.164,0.55
Northeast Bancorp,NBN,61.15,72.66,11.51,0.188,0.55
Newmark Group,NMRK,10.23,12.98,2.75,0.269,0.55
Prosperity Bancshares,PB,61.09,72.52,11.43,0.187,0.55
Premier,PINC,18.68,20.98,2.3,0.123,0.55
PRA,PRAA,19.7,26.65,6.95,0.353,0.55
Reinsurance of America,RGA,206.89,225.43,18.54,0.09,0.55
Simmons First National,SFNC,17.51,21.53,4.02,0.23,0.55
Southern,SO,78.03,83.52,5.49,0.07,0.55
ADTRAN,ADTN,5.28,6.77,1.49,0.282,0.54
Akamai,AKAM,90.17,98.28,8.11,0.09,0.54
American States Water,AWR,72.76,82.53,9.77,0.134,0.54
Camden National,CAC,32.36,41.68,9.32,0.288,0.54
Conduent,CNDT,3.24,4.08,0.84,0.259,0.54
ConnectOne Bancorp,CNOB,18.81,24.22,5.41,0.288,0.54
Columbia Banking System,COLB,19.87,26.16,6.29,0.317,0.54
Douglas Emmett,DEI,13.31,16.09,2.78,0.209,0.54
Erie Indemnity,ERIE,364.2,441.15,76.95,0.211,0.54
Evergy,EVRG,53.28,58,4.72,0.089,0.54
First Bank,FRBA,12.79,15.44,2.65,0.207,0.54
Formula One Group,FWONK,72.29,80.87,8.58,0.119,0.54
Genie Energy,GNE,14.62,16.96,2.34,0.16,0.54
Highwoods Properties,HIW,26.24,30.97,4.73,0.18,0.54
Hope Bancorp,HOPE,10.71,13.16,2.45,0.229,0.54
Lockheed Martin,LMT,470.77,541.92,71.15,0.151,0.54
Marcus and Millichap,MMI,31.46,39.61,8.15,0.259,0.54
MidWestOne Financial,MOFG,22.5,29.31,6.81,0.303,0.54
WAVE Life Sciences,WVE,4.94,6.61,1.67,0.338,0.54
Wave Life Sciences Ltd.,WVE,4.94,6.61,1.67,0.338,0.54
American Woodmark,AMWD,78.76,102.15,23.39,0.297,0.53
Arrow Financial,AROW,26.2,31.52,5.32,0.203,0.53
AMREP,AXR,18.63,25.46,6.83,0.367,0.53
Berkshire Hills Bancorp,BHLB,22.77,27.6,4.83,0.212,0.53
CBRE Group,CBRE,88.77,112.71,23.94,0.27,0.53
CorVel,CRVL,254.12,306.8,52.68,0.207,0.53
First Merchants,FRME,33.11,40.35,7.24,0.219,0.53
HomeStreet,HMST,11.37,14.4,3.03,0.266,0.53
Ohio Valley Banc,OVBC,19.65,24.24,4.59,0.234,0.53
United Bankshares,UBSI,32.14,38.93,6.79,0.211,0.53
United Community Banks,UCBI,25.43,30.95,5.52,0.217,0.53
WSFS Financial,WSFS,46.85,56.49,9.64,0.206,0.53
WSFS Financial Corp.,WSFS,46.85,56.49,9.64,0.206,0.53
American Assets Trust,AAT,22.24,26.52,4.28,0.192,0.52
Ameris Bancorp,ABCB,50.08,60.89,10.81,0.216,0.52
AMN Healthcare,AMN,51.12,67.62,16.5,0.323,0.52
Cross Country Healthcare,CCRN,14.2,18.24,4.04,0.285,0.52
Century Communities,CCS,81.84,104.71,22.87,0.279,0.52
Physicians Realty Trust,DOC,19.6,21.82,2.22,0.113,0.52
Four Corners Property Trust,FCPT,24.62,27.14,2.52,0.102,0.52
Hamilton Lane,HLNE,123.79,144.37,20.58,0.166,0.52
Heritage Commerce,HTBK,8.64,10.35,1.71,0.198,0.52
Iron Mountain,IRM,89.3,102.56,13.26,0.148,0.52
Piedmont Office Realty Trust,PDM,7.22,8.65,1.43,0.198,0.52
Pinnacle Financial Partners,PNFP,79.73,96.32,16.59,0.208,0.52
Republic Bancorp,RBCAA,53.39,65.62,12.23,0.229,0.52
Synovus Financial,SNV,40.23,46.75,6.52,0.162,0.52
Transcontinental Realty Investors,TCI,27.93,31.44,3.51,0.126,0.52
Travelzoo,TZOO,7.61,10.17,2.56,0.336,0.52
Allegion,ALLE,118.54,136.81,18.27,0.154,0.51
American Realty Investors,ARL,14,21.13,7.13,0.509,0.51
Balchem,BCPC,153.75,177.46,23.71,0.154,0.51
Sierra Bancorp,BSRR,22.25,29.09,6.84,0.307,0.51
CommScope Holding,COMM,1.22,2.59,1.37,1.123,0.51
Carpenter Technology,CRS,109.65,145.87,36.22,0.33,0.51
ExlService,EXLS,31.35,35.26,3.91,0.125,0.51
First Citizens BancShares,FCNCA,1683.53,2087.69,404.16,0.24,0.51
Hologic,HOLX,74.15,81.61,7.46,0.101,0.51
Installed Building Products,IBP,206.66,270.35,63.69,0.308,0.51
Investar Holding,ISTR,15.39,18.5,3.11,0.202,0.51
Liberty Global,LBTYA,17.4,19.49,2.09,0.12,0.51
Lands' End,LE,13.64,17.69,4.05,0.297,0.51
Miller Industries,MLR,54.99,67.94,12.95,0.235,0.51
MUELLER WATER PRODUCTS,MWA,17.94,20.68,2.74,0.153,0.51
Park National,PRK,141.89,176.96,35.07,0.247,0.51
State Street,STT,73.67,84.97,11.3,0.153,0.51
Tiptree,TIPT,16.54,19.75,3.21,0.194,0.51
Automatic Data Processing,ADP,239.3,262.62,23.32,0.097,0.5
Anavex Life Sciences,AVXL,4.22,6.8,2.58,0.61,0.5
Barrett Business,BBSI,32.41,36.44,4.03,0.124,0.5
Popular,BPOP,88.52,102.63,14.11,0.159,0.5
CNB Financial,CCNE,20.23,25.66,5.43,0.268,0.5
Avid Bioservices,CDMO,7.14,10.44,3.3,0.462,0.5
Cohen and Steers,CNS,72.81,85.82,13.01,0.179,0.5
Easterly Government Properties,DEA,12.41,13.93,1.52,0.122,0.5
Enterprise Financial,EFSC,40.85,52.87,12.02,0.294,0.5
FB Financial,FBK,39,46.69,7.69,0.197,0.5
First BanCorp,FBP,18.29,21.45,3.16,0.173,0.5
Franklin Covey,FC,38,43.71,5.71,0.15,0.5
Fresh Del Monte Produce,FDP,21.85,25.05,3.2,0.146,0.5
Farmers National Banc,FMNB,12.49,15.61,3.12,0.25,0.5
HNI,HNI,44.98,54.95,9.97,0.222,0.5
KKR and,KKR,106.65,123.45,16.8,0.158,0.5
Liberty Global,LBTYK,17.96,20.11,2.15,0.12,0.5
Louisiana-Pacific,LPX,82.67,98.16,15.49,0.187,0.5
La-Z-Boy,LZB,37.3,44.14,6.84,0.183,0.5
Moelis and Co.,MC,56.84,68,11.16,0.196,0.5
Stanley Black and Decker,SWK,79.99,105.62,25.63,0.32,0.5
Universal Technical Institute,UTI,15.69,18.94,3.25,0.207,0.5
XBiotech,XBIT,5.05,7.72,2.67,0.529,0.5
"XBiotech, Inc.",XBIT,5.05,7.72,2.67,0.529,0.5
Atmos Energy,ATO,116.92,127.88,10.96,0.094,0.49
Liberty Media,BATRA,41.48,45.92,4.44,0.107,0.49
Capital City Bank,CCBG,28.54,35.5,6.96,0.244,0.49
Coda Octopus Group,CODA,5.96,7.32,1.36,0.228,0.49
CSG International,CSGS,41.14,46.84,5.7,0.139,0.49
Customers Bancorp,CUBI,48.55,64.48,15.93,0.328,0.49
Emergent Biosolutions,EBS,6.83,12.71,5.88,0.861,0.49
Edison International,EIX,72.4,80.01,7.61,0.105,0.49
First Mid-Illinois Bancshares,FMBH,32.67,38.39,5.72,0.175,0.49
Federal Realty Investment Trust,FRT,100.43,111.65,11.22,0.112,0.49
Hovnanian Enterprises,HOV,141.43,209.89,68.46,0.484,0.49
Kroger,KR,49.96,54.5,4.54,0.091,0.49
KKR Real Estate Finance Trust,KREF,9.05,11.48,2.43,0.269,0.49
National Fuel Gas,NFG,54.46,58.59,4.13,0.076,0.49
Realty Income,O,52.36,57.43,5.07,0.097,0.49
Old National Bancorp,ONB,17.06,20.02,2.96,0.174,0.49
Old Republic International,ORI,30.85,34.62,3.77,0.122,0.49
Ringcentral,RNG,28.64,35.05,6.41,0.224,0.49
Sabre,SABR,2.69,3.43,0.74,0.275,0.49
Southern Missouri Bancorp,SMBC,45.01,57.2,12.19,0.271,0.49
AnaptysBio,ANAB,25,34.84,9.84,0.394,0.48
Crown Castle Intl,CCI,96.95,110.08,13.13,0.135,0.48
First Bancorp,FBNC,31.68,41.8,10.12,0.319,0.48
Jones Lang LaSalle,JLL,205.15,250.9,45.75,0.223,0.48
Johnson Outdoors,JOUT,35.28,42.4,7.12,0.202,0.48
Lexington Realty Trust,LXP,9.11,10.3,1.19,0.131,0.48
McCormick,MKC,70.85,77.01,6.16,0.087,0.48
One Liberty Properties,OLP,23.5,26.39,2.89,0.123,0.48
Plymouth Industrial REIT,PLYM,21.29,23.92,2.63,0.124,0.48
Regions Financial,RF,20.1,22.37,2.27,0.113,0.48
Rayonier Advanced Materials,RYAM,5.45,6.65,1.2,0.22,0.48
Sherwin-Williams,SHW,298.58,350.8,52.22,0.175,0.48
SmartFinancial,SMBK,23.81,28.34,4.53,0.19,0.48
Stock Yards Bancorp,SYBT,49.54,62.22,12.68,0.256,0.48
Trustmark,TRMK,29.91,34.73,4.82,0.161,0.48
Veritex,VBTX,21.05,25.07,4.02,0.191,0.48
"Veritex Holdings, Inc.",VBTX,21.05,25.07,4.02,0.191,0.48
Ares Commercial Real Estate,ACRE,6.63,7.73,1.1,0.166,0.47
Appian,APPN,30.75,36.94,6.19,0.201,0.47
Armstrong World Industries,AWI,113.83,131.4,17.57,0.154,0.47
Bio-Rad Laboratories,BIO,273.68,338.36,64.68,0.236,0.47
Barnes and Noble Education,BNED,6.26,10.64,4.38,0.7,0.47
Bank of Hawaii,BOH,57.26,68.59,11.33,0.198,0.47
Cal-Maine Foods,CALM,61.47,71.57,10.1,0.164,0.47
Cogent Communications,CCOI,55.7,70.59,14.89,0.267,0.47
Central Federal,CFBK,18.51,21.3,2.79,0.151,0.47
Cannae,CNNE,18.16,20.11,1.95,0.107,0.47
Dime Community Bancshares,DCOM,20.25,25.28,5.03,0.248,0.47
Diamond Hill Investment,DHIL,140.29,159.22,18.93,0.135,0.47
EastGroup Properties,EGP,169.49,186.99,17.5,0.103,0.47
The Ensign,ENSG,123.36,140.75,17.39,0.141,0.47
Empire State Realty Trust,ESRT,9.38,10.77,1.39,0.148,0.47
Goldman Sachs,GS,454.51,509.03,54.52,0.12,0.47
Huntington Ingalls Industries,HII,247.96,279.98,32.02,0.129,0.47
HarborOne Bancorp,HONE,11.12,13.35,2.23,0.201,0.47
IBM,IBM,173.45,192.14,18.69,0.108,0.47
Janus Henderson Group,JHG,33.77,37.23,3.46,0.102,0.47
Mesa Laboratories,MLAB,87.84,114.52,26.68,0.304,0.47
M&T Bank,MTB,151.74,172.17,20.43,0.135,0.47
Omeros,OMER,4.05,5.39,1.34,0.331,0.47
Old Point Financial,OPOF,14.7,19.33,4.63,0.315,0.47
Service International,SCI,71.1,79.91,8.81,0.124,0.47
S&P Global,SPGI,448.38,484.73,36.35,0.081,0.47
First Financial Indiana,THFF,36.55,44.96,8.41,0.23,0.47
Village Super Market,VLGEA,26.45,31.68,5.23,0.198,0.47
Ventas,VTR,50.67,54.44,3.77,0.074,0.47
"Ventas, Inc.",VTR,50.67,54.44,3.77,0.074,0.47
"Village Super Market, Inc.",VLGEA,26.45,31.68,5.23,0.198,0.47
Allegheny,ATI,55.8,67.71,11.91,0.213,0.46
Avista,AVA,34.93,39.18,4.25,0.122,0.46
Liberty Media,BATRK,39.41,43.43,4.02,0.102,0.46
Cullen Frost Bankers,CFR,101.49,117.06,15.57,0.153,0.46
Chesapeake Utilities,CPK,106.83,118.03,11.2,0.105,0.46
Cytosorbents,CTSO,0.71,1.2,0.49,0.681,0.46
Cousins Properties,CUZ,23.13,27.51,4.38,0.189,0.46
Essent,ESNT,56.41,62.84,6.43,0.114,0.46
Frank's International,FI,149.55,163.57,14.02,0.094,0.46
Fiserv,FISV,149.55,163.11,13.56,0.091,0.46
First Savings Financial,FSFG,17.87,21.53,3.66,0.205,0.46
Harrow Health,HROW,20.87,25.78,4.91,0.235,0.46
International Bancshares,IBOC,57.16,67.44,10.28,0.18,0.46
Kimco Realty,KIM,19.41,21.73,2.32,0.12,0.46
Grand Canyon Education,LOPE,139.54,155.95,16.41,0.118,0.46
MetLife,MET,70.74,76.85,6.11,0.086,0.46
OGE Energy,OGE,35.93,38.77,2.84,0.079,0.46
Peapack-Gladstone Financial,PGC,22.52,28.26,5.74,0.255,0.46
PNM Resources,PNM,37.07,41.58,4.51,0.122,0.46
Rush Enterprises,RUSHB,38.38,47.28,8.9,0.232,0.46
ScanSource,SCSC,44.14,52.05,7.91,0.179,0.46
WD-40 Co.,WDFC,219.44,261.61,42.17,0.192,0.46
WD-40 Co.,WDFC,219.44,261.61,42.17,0.192,0.46
ABM Industries,ABM,51.01,55.56,4.55,0.089,0.45
Air Transport,ATSG,13.86,16.14,2.28,0.165,0.45
Brighthouse Financial,BHF,43.51,49.87,6.36,0.146,0.45
Byline Bancorp,BY,23.67,28.05,4.38,0.185,0.45
City Holding,CHCO,106.36,121.9,15.54,0.146,0.45
Community Trust Bancorp,CTBI,43.74,50.72,6.98,0.16,0.45
Digi International,DGII,23.04,27.3,4.26,0.185,0.45
Consolidated Edison,ED,89.76,97.52,7.76,0.086,0.45
Evans Bancorp,EVBN,28.43,34.89,6.46,0.227,0.45
Fastenal,FAST,63.28,70.75,7.47,0.118,0.45
Green Brick Partners,GRBK,57.37,73.15,15.78,0.275,0.45
Hanmi Financial,HAFC,16.66,20.4,3.74,0.224,0.45
Kemper,KMPR,59.54,64.06,4.52,0.076,0.45
Mitek,MITK,11.23,13.31,2.08,0.185,0.45
NiSource,NI,28.92,31.25,2.33,0.081,0.45
Oceaneering International,OII,23.77,30.02,6.25,0.263,0.45
OUTFRONT Media,OUT,14.31,16.22,1.91,0.133,0.45
Pfizer,PFE,27.95,30.54,2.59,0.093,0.45
Plumas Bancorp,PLBC,35.45,43.27,7.82,0.221,0.45
Prologis,PLD,112,126.05,14.05,0.125,0.45
Ready Capital,RC,8.18,9.28,1.1,0.134,0.45
Skyline,SKY,67.93,81.51,13.58,0.2,0.45
1st Source,SRCE,53.48,63.55,10.07,0.188,0.45
SS&C,SSNC,62.53,72.95,10.42,0.167,0.45
Theravance Biopharma,TBPH,8.46,10.11,1.65,0.195,0.45
Toll Brothers,TOL,115.59,142.71,27.12,0.235,0.45
TRI Pointe,TPH,37.39,45.25,7.86,0.21,0.45
TransUnion,TRU,74.27,90.26,15.99,0.215,0.45
UFP,UFPT,267.06,321.59,54.53,0.204,0.45
Wec Energy,WEC,78.82,86.06,7.24,0.092,0.45
Welltower,WELL,104.24,111.25,7.01,0.067,0.45
Willdan,WLDN,28.85,33.88,5.03,0.174,0.45
"Vislink Technologies, Inc.",VISL,4.47,7.16,2.69,0.602,0.45
"WEC Energy Group, Inc.",WEC,78.82,86.06,7.24,0.092,0.45
"Welltower, Inc.",WELL,104.24,111.25,7.01,0.067,0.45
"Willdan Group, Inc.",WLDN,28.85,33.88,5.03,0.174,0.45
A-Mark Precious Metals,AMRK,32.65,38.44,5.79,0.177,0.44
American Software,AMSWA,9.24,10.94,1.7,0.184,0.44
Banner,BANR,49.64,59.22,9.58,0.193,0.44
BankFinancial,BFIN,10.38,11.72,1.34,0.129,0.44
Bar Harbor Bankshares,BHB,26.67,31.96,5.29,0.198,0.44
Cadence Bancorp,CADE,28.28,32.87,4.59,0.162,0.44
CSW Industrials,CSWI,265.92,324.42,58.5,0.22,0.44
Donnelley Financial,DFIN,59.8,67.48,7.68,0.128,0.44
D R Horton,DHI,141.53,179.93,38.4,0.271,0.44
ESCO,ESE,105.25,122.96,17.71,0.168,0.44
First Interstate BancSystem,FIBK,27.56,31.57,4.01,0.146,0.44
GMS,GMS,80.25,96.23,15.98,0.199,0.44
Immersion,IMMR,9.45,12.77,3.32,0.351,0.44
Kilroy Realty,KRC,31.13,36.97,5.84,0.188,0.44
Alliant Energy,LNT,51.08,55.66,4.58,0.09,0.44
Mistras,MG,8.38,10,1.62,0.193,0.44
Nabors Industries,NBR,71.53,102.83,31.3,0.438,0.44
NexPoint Residential Trust,NXRT,39.5,43.69,4.19,0.106,0.44
Old Dominion Freight Line,ODFL,176.16,210.18,34.02,0.193,0.44
Old Second Bancorp,OSBC,14.79,16.92,2.13,0.144,0.44
Overseas Shipholding,OSG,8.47,NA,NA,NA,0.44
Paycom Software,PAYC,142.96,166.79,23.83,0.167,0.44
PPL,PPL,27.79,29.72,1.93,0.069,0.44
RMR Group,RMR,22.57,25.94,3.37,0.149,0.44
Rush Enterprises,RUSHA,41.95,51.01,9.06,0.216,0.44
Seacoast Banking of Florida,SBCF,23.54,27.84,4.3,0.183,0.44
SL Green Realty,SLG,56.5,66.64,10.14,0.179,0.44
SpartanNash,SPTN,18.75,21.12,2.37,0.126,0.44
Taylor Morrison Home,TMHC,55.74,67.08,11.34,0.203,0.44
Urban Edge Properties,UE,18.39,20.3,1.91,0.104,0.44
US Bancorp,USB,39.81,44.88,5.07,0.127,0.44
ACADIA Pharma,ACAD,16.19,19.02,2.83,0.175,0.43
AFLAC,AFL,89.82,95.38,5.56,0.062,0.43
Agile Therapeutics,AGRX,1.41,1.47,0.06,0.043,0.43
Apollo Commercial Real Estate Finance,ARI,9.77,10.9,1.13,0.116,0.43
TopBuild,BLD,387.13,478.54,91.41,0.236,0.43
Brown and Brown,BRO,89.82,99.43,9.61,0.107,0.43
Cathay General Bancorp,CATY,37.65,44.32,6.67,0.177,0.43
Core Laboratories,CLB,20.28,24.49,4.21,0.208,0.43
Cavco Industries,CVCO,347.85,414.62,66.77,0.192,0.43
Employers Holdings,EIG,42.63,48.01,5.38,0.126,0.43
Equity Bancshares,EQBK,35.2,40.5,5.3,0.151,0.43
EverBank Financial,EVER,20.86,26.09,5.23,0.251,0.43
Exelon,EXC,34.76,37.2,2.44,0.07,0.43
First Community,FCCO,17.07,22.5,5.43,0.318,0.43
Glacier Bancorp,GBCI,37.32,44.71,7.39,0.198,0.43
Gaming and Leisure Properties,GLPI,45.11,50.2,5.09,0.113,0.43
Generac Holdlings,GNRC,133.39,155.68,22.29,0.167,0.43
Goosehead Insurance,GSHD,57.25,90.29,33.04,0.577,0.43
i3 Verticals,IIIV,22.19,24.51,2.32,0.105,0.43
Industrial Logistics Properties,ILPT,3.67,5.14,1.47,0.401,0.43
Investors Title,ITIC,176.56,212.84,36.28,0.205,0.43
JELD-WEN Holding,JELD,13.46,16.69,3.23,0.24,0.43
KeyCorp,KEY,14.2,16.13,1.93,0.136,0.43
Mercury General,MCY,53.34,59.87,6.53,0.122,0.43
NewJersey Resources,NJR,42.86,46.75,3.89,0.091,0.43
Redfin,RDFN,6,8.14,2.14,0.357,0.43
Rexford Industrial Realty,REXR,44.39,50.11,5.72,0.129,0.43
Royal Gold,RGLD,125.26,138.12,12.86,0.103,0.43
RTW Retailwinds,RTW,1.56,NA,NA,NA,0.43
